dep_epci;siren_epci;nom_complet;nj_epci2015;fisc_epci2015;nb_com_epci_2015;ptot_epci_2015;pmun_epci_2015;dep_com;insee;siren_com;nom_com;ptot_2015;pmun_2015
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01300;210103008;Le Poizat;450;440
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01307;210103073;Port;880;850
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01373;210103735;Saint-Martin-du-Frêne;1142;1098
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01392;210103925;Samognat;724;691
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01410;210104105;Sonthonnax-la-Montagne;329;317
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01441;210104410;Vieu-d'Izenave;699;683
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01024;210100244;Attignat;3159;3110
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01040;210100400;Béréziat;474;463
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01115;210101150;Confrançon;1267;1245
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01130;210101309;Cras-sur-Reyssouze;1384;1368
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01140;210101408;Curtafond;734;726
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01154;210101549;Etrez;815;796
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01163;210101630;Foissiat;2012;1980
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01196;210101960;Jayat;1103;1091
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01229;210102299;Malafretaz;1094;1076
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01236;210102364;Marsonnas;1026;1009
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01266;210102661;Montrevel-en-Bresse;2462;2415
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01346;210103461;Saint-Didier-d'Aussiat;911;897
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01375;210103750;Saint-Martin-le-Châtel;823;796
01;240100156;CC de Montrevel - en - Bresse;CC;FA;14;17438;17145;01;01387;210103875;Saint-Sulpice;174;173
