version_longue,abbrev
POTERNE,POT
PROFESSEUR,PROF
PROMENADE,PROM
PETITE ROUTE,PRT
PARVIS,PRV
PASTEUR,PAST
POINT,PT
PETITE ALLEE PTE ALL,PTA
PETITE ALLEE PTE ALLEE,PTA
PETITE ALLEE,PTA
PORTE,PTE
PETITE RUE PETITE RUE,PTR
PETITE RUE PTE RUE,PTR
PTR PETITE RUE,PTR
PTR PTE RUE,PTR
RUE PETITE RUE,PTR
PETITE RUE,PTR
PLACETTE,PTTE
QUARTIER,QRT
QRT,QUA
QUARTIER,QUA
QUAI,QUAI
RACCOURCI,RAC
RAVIN,RAV
ROUTE DEPARTEMENTALE,RD
RAIDILLON,RDL
REGIMENT,REGT
REMPART,REM
RESIDENCE,RES
RESIDENCES,RES
REGIMENT D INFANTERIE,RI
REGIM,RGT
REGIMENT,RGT
RIVE,RIVE
CHEMIN RURAL DIT RUELLE,RLE
RUELLE,RLE
ROCADE,ROC
RAMPE,RPE
ROND POINT ROND POINT,RPT
RPT ROND POINT,RPT
ROND POINT,RPT
ROND-POINT,RPT
RD PT,RPT
ROTONDE,RTD
ROUTE,RTE
RUE RUE,RUE
RUETTE,RUET
RUISSEAU,RUIS
RUELLETTE,RULT
RAVINE,RVE
SAS,SAS
SCOLA(|I|IR|IRE),SCOL
VOIE COMMUNALE STR,SEN
VC STE,SEN
VC STR,SEN
SENTE,SEN
SENTIER,SEN
SQUARE,SQ
SAINT,ST
STADE,STDE
SAINTE,STE
TOUR,TOUR
TERRE PLEIN,TPL
TRAVERSE,TRA
TRABOULE,TRAB
TERRAIN,TRN
TERTRE,TRT
TERRASSE,TSSE
TUNNEL,TUN
VAL,VAL
VALLON,VALL
VOIE COMMUNALE,VC
VIEUX CHEMIN VIEUX CHEMIN,VCHE
VCHE VIEUX CHEMIN,VCHE
VIEUX CHEMIN,VCHE
VENELLE,VEN
VILLAGE,VGE
VIA,VIA
VC VIADUC,VIAD
VIADUC,VIAD
VILLE,VIL
VILLA,VLA
CHEMIN RURAL DIT VOIE,VOIE
VOIE COMMUNALE DITE VOIE,VOIE
VOIE COMMUNALE DITE,VOIE
VOIE COMMUNALE VOIE,VOIE
VC VOIE,VOIE
VOIE,VOIE
VOIRIE,VOIR
VOUTE,VOUT
VOYEUL,VOY
VIEILLE ROUTE,VTE
VIEUX,VX
ZA,ZA
ZAC,ZAC
ZAD,ZAD
ZI,ZI
ZONE,ZONE
ZUP,ZUP
UN,1
DEUX,2
TROIS,3
QUATRE,4
CINQ,5
SIX,6
SEPT,7
HUIT,8
NEUF,9
DIX,10
ONZE,11
DOUZE,12
TREIZE,13
QUATORZE,14
QUINZE,15
SEIZE,16
DIX SEPT,17
DIX HUIT,18
DIX NEUF,19
VINGT,20
VINGTS,20
