fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
1786,1786,impasse cézanne,3,3,0
1835,1835,impasse chanau,17,15,2
2110,2110,impasse clémenceau,6,5,1
2155,2155,impasse coli,3,4,-1
2270,2270,impasse conrad,5,7,-2
2285,2285,impasse conti,8,8,0
0060,0060,impasse d'agen,40,42,-2
"",,impasse darnal,1,,1
,2455,Impasse Darnal,,1,-1
4892,4892,impasse de kater,5,1,4
0825,,impasse de la benatte,2,,2
3720,3720,impasse de la fraternité,15,15,0
6280,6280,impasse de la merci,4,6,-2
7395,7395,impasse de la pomme d'or,4,8,-4
7525,7525,impasse de la prairie,9,8,1
"",,impasse de lestonnat,2,,2
,5440,Impasse de Lestonnat,,3,-3
5441,5441,impasse de lestonnat caud,6,9,-3
4402,4402,impasse de l'hermitage,4,8,-4
6055,6055,impasse de marmande,12,14,-2
6075,6075,impasse de marrakech,9,9,0
7530,7530,impasse de préceinte,18,18,0
2330,2330,impasse des cossus,3,4,-1
3825,3825,impasse des gants,12,12,0
6385,6385,impasse des minimettes,3,3,0
8815,8815,impasse des tanneries,22,25,-3
9065,9065,impasse de tregey,5,1,4
2860,2860,impasse ducaule,3,2,1
2138,2138,impasse du clos des orangers,10,9,1
2365,2365,impasse du couvent,8,5,3
2713,2713,impasse du docteur jean vincent,1,3,-2
2724,2724,impasse du docteur roux,2,1,1
2889,,impasse duguay trouin,2,,2
2895,2895,impasse dulac,4,4,0
6945,6945,impasse du passage saint-georges,5,8,-3
7629,7629,impasse du professeur pachon,21,21,0
2980,2980,impasse durban,6,6,0
3130,3130,impasse elvina sivan,35,30,5
3350,3350,impasse fabelle,5,4,1
3355,3355,impasse fabreguette,5,6,-1
3370,3370,impasse falgerat,18,17,1
3390,3390,impasse faure,13,16,-3
,8930,Impasse Faure,,16,-16
3410,3410,impasse faye,6,9,-3
3435,,impasse félix faure,1,,1
3450,3450,impasse fenouil,10,12,-2
3580,3580,impasse fontaine de guillot,11,11,0
3585,3585,impasse fontan,2,3,-1
3595,3595,impasse forestier,9,12,-3
"",,impasse galilée,2,,2
3876,3876,impasse gauguin,13,13,0
3940,3940,impasse genesta,25,24,1
4030,4030,impasse germain valladon,9,10,-1
4080,4080,impasse gondalma,3,1,2
4105,4105,impasse gourdin,16,19,-3
4130,,impasse gramont,1,,1
,4175,Impasse Gratiolet,,1,-1
4230,4230,impasse guestier,6,3,3
4265,4265,impasse guiraude,1,3,-2
4480,4480,impasse hustin,7,10,-3
"",,impasse jeanne lafond,1,,1
,4667,Impasse Jeanne Lafond,,1,-1
4715,4715,impasse jeannin,12,12,0
4935,4935,impasse labottière,7,3,4
4980,4980,impasse lacoste,6,4,2
4990,4990,impasse lacroix,5,7,-2
5010,5010,impasse lafargue,6,7,-1
5035,5035,impasse lafitte,18,27,-9
"",,impasse lafon,2,,2
"",,impasse lafontaine,1,,1
5070,5070,impasse laforêt,4,8,-4
5090,5090,impasse laine,5,5,0
5255,5255,impasse laurendon,15,15,0
5280,5280,impasse laville,7,8,-1
5482,5482,impasse leyrat,6,8,-2
5685,5685,impasse louis mesplet,9,9,0
5732,5732,impasse luckner,5,4,1
5847,5847,impasse maître jean,10,16,-6
6040,6040,impasse margaux,4,4,0
6045,6045,impasse marie jeanne,8,9,-1
6050,6050,impasse marion,5,1,4
6106,6106,impasse martin videau,5,3,2
6155,6155,impasse maubec,4,3,1
6165,6165,impasse maubourguet,8,8,0
6185,6185,impasse maucouyade,4,4,0
6190,6190,impasse mauriac,6,7,-1
6425,6425,impasse mitchell,9,6,3
6560,6560,impasse morton,22,10,12
6585,,impasse moulinié,2,,2
6655,,impasse naujac,6,,6
6730,6730,impasse noël,44,44,0
,6765,Impasse Nuyens,,2,-2
7085,7085,impasse pavie,8,1,7
,7151,Impasse Perinot,,4,-4
7180,7180,impasse petit bert,3,3,0
7305,7305,impasse pierre melin,21,20,1
"",,impasse pierre paul courau,1,,1
7390,7390,impasse poitevine,2,4,-2
7510,7510,impasse poyenne,5,4,1
7770,7770,impasse râteau,10,10,0
7855,7855,impasse reinette,5,5,0
7887,7887,impasse renoir,3,3,0
7957,7957,impasse robert,4,5,-1
6691,6691,impasse rue neuve,7,8,-1
8170,8170,impasse saillan,7,6,1
8185,8185,impasse saint-amand,22,22,0
8190,8190,impasse saint-augustin,12,12,0
8375,8375,impasse sainte-cadenne,3,1,2
8385,8385,impasse sainte-catherine,2,2,0
"",,impasse sainte-croix du mont,6,,6
,8406,Impasse Sainte-Croix du Mont,,11,-11
8415,8415,impasse sainte-élisabeth,5,7,-2
"",,impasse sainte-hélène,1,,1
,8440,Impasse Sainte-Hélène,,1,-1
8445,8445,impasse sainte-luce,5,6,-1
8480,8480,impasse sainte-ursule,16,15,1
8250,8250,impasse saint-james,5,7,-2
8260,8260,impasse saint-jean,5,8,-3
8280,8280,impasse saint-lazare,3,2,1
8290,8290,impasse saint-louis,4,2,2
8300,8300,impasse saint-martial,3,3,0
"",,impasse saint-paul,3,,3
,8325,Impasse Saint-Paul,,4,-4
8330,8330,impasse saint-pierre,3,5,-2
8340,8340,impasse saint-projet,5,4,1
8495,8495,impasse sale,15,18,-3
,8535,Impasse Saubos,,2,-2
8665,8665,impasse signoret,14,14,0
8715,8715,impasse soubiran,2,5,-3
8785,8785,impasse sully,18,18,0
8840,8840,impasse taudin,1,1,0
8925,8925,impasse thomasson,4,2,2
8935,8935,impasse tiffonet,8,9,-1
9045,9045,impasse toussaint louverture,42,40,2
9290,9290,impasse victoire américaine,7,10,-3
9405,9405,impasse villedieu,2,2,0
9470,9470,impasse wilson,14,14,0
,A014,Lotissement La Benauge,,1,-1
,A024,Lotissement Le Clos des Camelias,,1,-1
